,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2015_NB_SMOTE_stand,0:00:26.642985,0.5,0.5,0.0,0.0,0.3333,0.5852,2015,NB,stand,SMOTE
2015_NB_RandomUnder,0:00:13.088990,0.6154,0.6154,0.7222,0.375,0.5918,0.7006,2015,NB,non,RandomUnder
2015_NB_RandomUnder_norm,0:00:13.077333,0.5,0.5,0.0,0.0,0.3333,0.6073,2015,NB,norm,RandomUnder
2015_NB_RandomUnder_stand,0:00:13.192910,0.5,0.5,0.0,0.0,0.3333,0.5928,2015,NB,stand,RandomUnder
2015_DT,0:00:12.863250,0.6995,0.6434,0.3352,0.5515,0.7234,0.7003,2015,DT,non,non
2015_DT_norm,0:00:13.188210,0.6328,0.6501,0.3027,0.6785,0.6707,0.6959,2015,DT,norm,non
2015_DT_stand,0:00:13.396784,0.5794,0.647,0.2834,0.7577,0.6218,0.6911,2015,DT,stand,non
2015_DT_SMOTE,0:00:23.404683,0.6059,0.6059,0.6429,0.4766,0.5992,0.6864,2015,DT,non,SMOTE
2015_DT_SMOTE_norm,0:00:24.299704,0.6441,0.6441,0.6379,0.6665,0.6439,0.6889,2015,DT,norm,SMOTE
2015_DT_SMOTE_stand,0:00:25.028086,0.643,0.643,0.6397,0.6551,0.643,0.6896,2015,DT,stand,SMOTE
2015_DT_RandomUnder,0:00:12.319197,0.6433,0.6433,0.6755,0.5515,0.6402,0.6997,2015,DT,non,RandomUnder
2015_DT_RandomUnder_norm,0:00:12.460555,0.6501,0.6501,0.642,0.6785,0.6498,0.6955,2015,DT,norm,RandomUnder
2015_DT_RandomUnder_stand,0:00:12.477750,0.6492,0.6492,0.6438,0.6679,0.649,0.6954,2015,DT,stand,RandomUnder
2015_RF,0:01:17.966916,0.8058,0.5253,0.5124,0.0656,0.74,0.7099,2015,RF,non,non
2015_RF_norm,0:01:03.667584,0.8051,0.5,0.0,0.0,0.7182,0.6681,2015,RF,norm,non
2015_RF_stand,0:01:05.383366,0.8051,0.5,0.0,0.0,0.7182,0.6594,2015,RF,stand,non
2015_RF_SMOTE,0:01:51.883067,0.5281,0.5281,0.8253,0.0714,0.4037,0.7046,2015,RF,non,SMOTE
2015_RF_SMOTE_norm,0:01:24.812977,0.5,0.5,0.0,0.0,0.3333,0.6291,2015,RF,norm,SMOTE
2015_RF_SMOTE_stand,0:01:26.431324,0.5,0.5,0.0,0.0,0.3333,0.6076,2015,RF,stand,SMOTE
2015_RF_RandomUnder,0:00:57.232533,0.5255,0.5255,0.8173,0.0656,0.3982,0.7101,2015,RF,non,RandomUnder
2015_RF_RandomUnder_norm,0:00:51.402205,0.5,0.5,0.0,0.0,0.3333,0.6672,2015,RF,norm,RandomUnder
2015_RF_RandomUnder_stand,0:00:52.956674,0.5,0.5,0.0,0.0,0.3333,0.6553,2015,RF,stand,RandomUnder
2015_XGB,0:00:25.002823,0.8048,0.5407,0.4954,0.1081,0.7505,0.7136,2015,XGB,non,non
2015_XGB_norm,0:00:25.598158,0.804,0.5058,0.4272,0.0173,0.7238,0.6429,2015,XGB,norm,non
2015_XGB_stand,0:00:26.125666,0.8043,0.5031,0.4058,0.0095,0.7213,0.636,2015,XGB,stand,non
2015_XGB_SMOTE,0:00:38.454726,0.5181,0.5181,0.702,0.0628,0.3921,0.7071,2015,XGB,non,SMOTE
2015_XGB_SMOTE_norm,0:00:37.621796,0.5003,0.5003,0.5282,0.0063,0.339,0.5949,2015,XGB,norm,SMOTE
2015_XGB_SMOTE_stand,0:00:38.349230,0.4999,0.4999,0.4899,0.0028,0.3357,0.5763,2015,XGB,stand,SMOTE
2015_XGB_RandomUnder,0:00:23.814323,0.5407,0.5407,0.8013,0.1081,0.435,0.7141,2015,XGB,non,RandomUnder
2015_XGB_RandomUnder_norm,0:00:24.912037,0.5056,0.5056,0.7407,0.0173,0.3508,0.6431,2015,XGB,norm,RandomUnder
2015_XGB_RandomUnder_stand,0:00:24.470113,0.5026,0.5026,0.7254,0.0082,0.3417,0.636,2015,XGB,stand,RandomUnder
2016_LR,0:00:12.326789,0.6692,0.6547,0.3203,0.6311,0.7014,0.7141,2016,LR,non,non
2016_LR_norm,0:00:16.940846,0.1938,0.5001,0.1937,1.0,0.0631,0.7251,2016,LR,norm,non
2016_LR_stand,0:00:12.425883,0.6145,0.6558,0.2968,0.7231,0.6549,0.7157,2016,LR,stand,non
2016_LR_SMOTE,0:00:16.350248,0.6598,0.6598,0.6659,0.6412,0.6596,0.7207,2016,LR,non,SMOTE
2016_LR_SMOTE_norm,0:00:21.208166,0.5001,0.5001,0.5,1.0,0.3335,0.6633,2016,LR,norm,SMOTE
2016_LR_SMOTE_stand,0:00:17.402619,0.6578,0.6578,0.657,0.6607,0.6578,0.717,2016,LR,stand,SMOTE
2016_LR_RandomUnder,0:00:12.134654,0.655,0.655,0.6628,0.6311,0.6548,0.7146,2016,LR,non,RandomUnder
2016_LR_RandomUnder_norm,0:00:17.292578,0.5001,0.5001,0.5,1.0,0.3334,0.7255,2016,LR,norm,RandomUnder
2016_LR_RandomUnder_stand,0:00:12.053066,0.6557,0.6557,0.6615,0.6377,0.6556,0.7156,2016,LR,stand,RandomUnder
2016_NB,0:00:12.184523,0.7737,0.6145,0.404,0.3546,0.7679,0.7066,2016,NB,non,non
2016_NB_norm,0:00:12.323929,0.8063,0.5,0.0,0.0,0.7199,0.6212,2016,NB,norm,non
2016_NB_stand,0:00:12.320952,0.8063,0.5,0.0,0.0,0.7199,0.6284,2016,NB,stand,non
2016_NB_SMOTE,0:00:16.556879,0.6061,0.6061,0.7289,0.3378,0.5755,0.717,2016,NB,non,SMOTE
2016_NB_SMOTE_norm,0:00:17.055838,0.5,0.5,0.0,0.0,0.3333,0.6243,2016,NB,norm,SMOTE
